Local,Densidade_demográfica,Salário_médio_mensal_dos_trabalhadores_formais,População_ocupada,Taxa_de_escolarização_de_6_a_14_anos_de_idade,Mortalidade_Infantil,Esgotamento_sanitário_adequado
Tacaratu,17.45,1.6,5.6,96.3,19.23,21.2
Tamandaré,96.66,1.5,15.3,95.5,22.56,17.9
Taquaritinga do Norte,52.41,1.5,8.2,96.2,10.96,43.1
Terezinha,44.48,1.7,5.0,95.7,29.13,56.3
Terra Nova,28.95,1.7,5.6,98.2,8.06,46.9
Timbaúba,184.63,1.7,14.4,97.7,5.26,66.2
Toritama,1383.21,1.5,15.2,91.5,13.2,79.5
Tracunhaém,110.27,1.6,5.9,97.0,11.24,24.9
Trindade,113.77,1.7,8.8,97.9,15.2,42.4
Triunfo,78.35,1.7,12.6,98.4,9.85,19.8
Tupanatinga,25.7,1.9,6.4,96.0,21.21,29.9
Tuparetama,44.38,1.6,8.7,98.6,16.81,59.5
Venturosa,50.05,1.7,6.0,97.5,17.47,54.7
Verdejante,19.2,1.6,6.5,95.0,44.78,40.2
Vertente do Lério,106.93,1.5,8.7,96.7,18.35,16.0
Vertentes,92.82,1.6,6.5,94.1,17.24,39.0
Vicência,134.78,1.5,13.7,95.6,13.05,58.8
Vitória de Santo Antão,348.8,2.0,18.7,96.9,8.67,63.3
Xexéu,127.18,1.8,5.6,95.0,4.15,55.4
